ID,Data (Sensor),Concelho,Freguesia,Latitude,Longitude,Altitude,Geologia,Visualizacao,DescriçãoDGPC,QualidadedaImagem,Dimensao,AlturaAtual,AlturaEstimadaNoPassado,Forma,Esteios,Conservacao,Chapeu,Corredor,Mamoa,TipoRocha,AfloramentoRochoso,Relevo,LinhaAgua,VegetacaoTipo,COS2015,COS2015DefinicaoLevel5,ProximidadesCOS
Andorinhos 1,9/1/2013,Arraiolos,Arraiolos,38.686419,-8.012764,310,MO,Yes,Yes,Good,2.0,n/a,n/a,n/a,5,Good,Yes,No,No,n/a,Yes,No,No,Silvas,FMN,FPM,PAP
Anta da Vila de Arraiolos,8/5/2017,Arraiolos,Arraiolos,38.713838,-7.987539,300,YQ,Yes,Yes,Good,5.0m,n/a,n/a,Polygonal,3,n/a,Fraturado,No,No,Granito,No,No,No,Zona urbana,SAF,SCPC,SAF/CT/VIN
Anta das Silvadas,8/5/2017,Arraiolos,Arraiolos,38.76086,-8.020244,0,YP,No,Yes,Good,n/a,n/a,n/a,Polygonal,n/a,n/a,n/a,n/a,Resto,n/a,No,No,No,Densa,SAF,SA,SAF/SS
Anta de Santana do Campo,n/a,Arraiolos,Arraiolos,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Anta de Alcarou de Baixo 5,8/5/2017,Arraiolos,Arraiolos,38.826451,-8.025183,n/a,YR,No,No,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,No,Muito Densa,SAF,SA,SAF/SA
Anta da Estação de Arraiolos,8/5/2017,Arraiolos,Arraiolos,38.724383,-7.96048,n/a,YP,No,No,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Yes,Yes,No,Muito Densa,SAF,SAFF,PAP
Balanqueira 1,n/a,Arraiolos,Arraiolos,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Destruido,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Balanqueira 2,9/1/2013,Arraiolos,Arraiolos,38.69234,-7.999924,326,MO,Yes,Yes,Good,n/a,n/a,n/a,Polygonal,n/a,n/a,n/a,n/a,n/a,n/a,No,No,No,Zona de plantação,PAP,PAP,PAP
Balanqueira 3,n/a,Arraiolos,Arraiolos,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,Polygonal,n/a,Não Localizado,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Carias,n/a,Arraiolos,Arraiolos,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Não Localizado,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Coelhas,8/5/2017,Arraiolos,Arraiolos,38.750381,-8.04826,0,MO,No,Yes,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Yes,Yes,Rasteira,PAP,PAP,SAF/SS
Coelhas 2,8/5/2017,Arraiolos,Arraiolos,38.752384,-8.053825,303,YP,No,Yes,Bad,n/a,n/a,n/a,n/a,n/a,Bad,n/a,n/a,n/a,n/a,Yes,Yes,No,Muito Densa,SAF,SAFF,SAF/SA
Courela,n/a,Arraiolos,Arraiolos,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Folgos 1,8/5/2017,Arraiolos,Arraiolos,38.690049,-8.042515,280,YQ,Yes,Yes,Good,n/a,n/a,n/a,Polygonal,7,Good,n/a,n/a,No,Granito,Yes,No,Yes,Densa,PAP,PAP,PAP
França,8/5/2017,Arraiolos,Arraiolos,38.702551,-8.019508,320,YQ,Yes,Yes,Good,3.0,n/a,n/a,Polygonal,7,Good,No,Yes,Yes,Granito,No,Yes,No,Densa,SAF,SA,TA/OIDEL
Herdade da Oleirita 1,8/5/2017,Arraiolos,Arraiolos,38.749336,-7.965254,235,YQ,No,Yes,Good,n/a,n/a,n/a,n/a,n/a,Destruído,n/a,n/a,n/a,n/a,No,No,Yes,Rasteira,SAF,CTSR,PAP
Herdade dos Mogos,8/5/2017,Arraiolos,Arraiolos,38.749336,-7.965254,260,YQ,No,Yes,Good,n/a,n/a,n/a,Polygonal,1,Bad,n/a,n/a,n/a,Granito,No,No,Yes,Rasteira,SAF,SS,SAF/SA/CTSR
Ilhas 1,8/5/2017,Arraiolos,Arraiolos,38.721646,-7.965411,295,YP,No,Yes,Good,n/a,n/a,n/a,n/a,3,Bad,n/a,n/a,n/a,Granito,No,No,No,Rasteira,PAP,PAP,PAP
Loirinha,n/a,Arraiolos,Arraiolos,n/a,n/a,n/a,n/a,No,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Mata,8/5/2017,Arraiolos,Arraiolos,38.832952,-8.042707,n/a,YR,No,No,Good,n/a,n/a,n/a,n/a,n/a,Bad,n/a,n/a,n/a,n/a,Yes,Yes,Yes,Densa,SAF,SA,SAF/SA
Monte da Freixa,4/2/2015,Arraiolos,Arraiolos,38.743311,-8.039239,340,MO,Yes,Yes,Good,3.5,n/a,n/a,Polygonal,7,Good,Yes,Yes,Vestígio,Granito,No,No,No,Rasteira,SAF,CTSR,SAF/SA
Monte do Seixinho,8/5/2017,Arraiolos,Arraiolos,38.783568,-8.140204,n/a,YR,No,No,Good,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,No,Yes,Muito Densa,SAF,SAFF,SAF/SA
Mousinha 1,8/5/2017,Arraiolos,Arraiolos,38.757189,-7.990385,250,MO,No,Yes,Good,n/a,2.5,n/a,Polygonal,4,Bad,n/a,n/a,Vestígio,n/a,No,No,No,Rasteira,SAF,SS,SAF/SA/CTSR
Pastaneira 1,8/5/2017,Arraiolos,Arraiolos,38.720527,-8.02478,320,YQ,Yes,Yes,Good,2.5,n/a,n/a,Polygonal,5,Bad,Yes,Yes,Destruída,Granito,Yes,Yes,No,Densa,PAP,PAP,PAP
Quatrim,8/5/2017,Arraiolos,Arraiolos,38.697088,-8.035276,300,YQ,Yes,Yes,Good,2.0,n/a,n/a,Circular,4,Bad,Fraturado,n/a,n/a,n/a,Yes,Yes,Yes,Rasteira,SAF,CTSR,SAF/CTSR
Santiago 1/ Anta do Santiago 1,8/5/2017,Arraiolos,Arraiolos,38.697039,-8.030724,290,YQ,Yes,Yes,Good,2.5,n/a,n/a,Polygonal,7,Good,Yes,n/a,n/a,Granito,Yes,Yes,No,Densa,SAF,CTSR,SAF/CTSR
Santiago 2/ Anta do Santiago 2,8/5/2017,Arraiolos,Arraiolos,38.694535,-8.031118,290,YQ,Yes,Yes,Good,2.5,n/a,n/a,Circular,1,Bad,No,n/a,n/a,Granito,Yes,Yes,Yes,Zona de Plantação,SAF,CTSR,SAF/CTSR
Santiago 3/ Anta do Santiago 3,8/5/2017,Arraiolos,Arraiolos,38.697894,-8.029504,300,YQ,Yes,Yes,Good,3.0,3.0,n/a,Polygonal,4,Bad,No,n/a,n/a,n/a,Yes,No,No,Zona de Plantação,SAF,CTSR,SAF/CTSR
